movie_id,title,release_date,genres
9350,Cliffhanger,1993-05-28,"['Action', 'Adventure', 'Thriller']"
1587,What's Eating Gilbert Grape,1993-12-17,"['Romance', 'Drama']"
4478,Indecent Proposal,1993-04-07,"['Romance', 'Drama']"
37094,Falling Down,1993-02-26,"['Crime', 'Drama', 'Thriller']"
788,Mrs. Doubtfire,1993-11-24,"['Comedy', 'Drama', 'Family']"
6075,Carlito's Way,1993-11-10,"['Crime', 'Drama', 'Romance', 'Thriller']"
9255,Hot Shots! Part Deux,1993-05-21,"['Action', 'Comedy', 'War']"
6593,Godzilla vs. Mechagodzilla II,1993-12-11,"['Action', 'Adventure', 'Drama', 'Science Fiction']"
9593,Last Action Hero,1993-06-18,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']"
108,Three Colors: Blue,1993-09-08,['Drama']
11811,Leprechaun,1993-01-08,"['Horror', 'Comedy', 'Fantasy']"
9545,Sniper,1993-01-29,"['Action', 'Drama', 'Thriller']"
33408,The Crush,1993-04-02,"['Drama', 'Thriller']"
10285,Jason Goes to Hell: The Final Friday,1993-08-13,"['Horror', 'Thriller']"
5503,The Fugitive,1993-08-06,"['Action', 'Thriller', 'Drama']"
8005,Robin Hood: Men in Tights,1993-07-28,['Comedy']
1634,Free Willy,1993-07-16,"['Family', 'Adventure', 'Drama']"
37100,Sailor Moon R: The Movie,1993-12-05,"['Animation', 'Romance', 'Action', 'Fantasy']"
858,Sleepless in Seattle,1993-06-24,"['Comedy', 'Drama', 'Romance']"
9571,Dazed and Confused,1993-09-24,"['Comedy', 'Drama']"
9800,Philadelphia,1993-12-22,['Drama']
15613,Fire in the Sky,1993-03-12,"['Science Fiction', 'Drama', 'Mystery']"
11566,Dave,1993-05-07,['Comedy']
10997,Farewell My Concubine,1993-01-01,['Drama']
8223,Kika,1993-10-29,"['Comedy', 'Drama']"
12139,Dennis the Menace,1993-06-24,"['Family', 'Comedy']"
343693,Aladdin,1993-01-01,"['Animation', 'Fantasy', 'Family', 'Adventure']"
9516,Menace II Society,1993-05-26,"['Drama', 'Crime']"
9386,In the Line of Fire,1993-07-08,"['Action', 'Drama', 'Thriller', 'Crime', 'Mystery']"
867,Sliver,1993-05-21,"['Drama', 'Thriller']"
12187,Heart and Souls,1993-08-13,"['Fantasy', 'Comedy', 'Romance']"
7305,Alive,1993-01-15,"['Adventure', 'Drama', 'History']"
1499,Teenage Mutant Ninja Turtles III,1993-03-17,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']"
31642,Heaven & Earth,1993-12-25,"['History', 'War', 'Action', 'Drama']"
14919,Batman: Mask of the Phantasm,1993-12-25,"['Action', 'Animation', 'Crime', 'Mystery', 'Drama']"
864,Cool Runnings,1993-10-01,"['Comedy', 'Adventure', 'Drama']"
11074,Striking Distance,1993-09-17,"['Crime', 'Action', 'Mystery', 'Thriller']"
9272,The Good Son,1993-09-24,"['Thriller', 'Drama', 'Horror']"
371193,The Spirit of Love,1993-04-17,"['Romance', 'Horror']"
10413,Nowhere to Run,1993-01-15,"['Action', 'Drama', 'Thriller', 'Romance']"
